ip.session_id,meta.direction,ip.pkts_per_flow,duration,ip.header_len,ip.payload_len,ip.avg_bytes_tot_len,time_between_pkts_sum,time_between_pkts_avg,time_between_pkts_max,time_between_pkts_min,time_between_pkts_std,"(-0.001, 50.0]","(50.0, 100.0]","(100.0, 150.0]","(150.0, 200.0]","(200.0, 250.0]","(250.0, 300.0]","(300.0, 350.0]","(350.0, 400.0]","(400.0, 450.0]","(450.0, 500.0]","(500.0, 550.0]",tcp_pkts_per_flow,pkts_rate,tcp_bytes_per_flow,byte_rate,tcp.tcp_session_payload_up_len,tcp.tcp_session_payload_down_len,"(-0.001, 150.0]","(150.0, 300.0]","(300.0, 450.0]","(450.0, 600.0]","(600.0, 750.0]","(750.0, 900.0]","(900.0, 1050.0]","(1050.0, 1200.0]","(1200.0, 1350.0]","(1350.0, 1500.0]","(1500.0, 10000.0]",tcp.fin,tcp.syn,tcp.rst,tcp.psh,tcp.ack,tcp.urg,sport_g,sport_le,dport_g,dport_le,mean_tcp_pkts,std_tcp_pkts,min_tcp_pkts,max_tcp_pkts,entropy_tcp_pkts,mean_tcp_len,std_tcp_len,min_tcp_len,max_tcp_len,entropy_tcp_len,ssl.tls_version,malware
1,0,141,140.00048303604126,2820,5922,59.333333333333336,9.865999221801758,0.0699716256865373,0.11301040649414062,0.04315376281738281,0.013718160813726519,141,0,0,0,0,0,0,0,0,0,0,141,1.0071393822527128,1410,1.0071393822527128,141,141,141,0,0,0,0,0,0,0,0,0,0,0,0,0,141,141,0,0,141,141,0,502.0,0.0,502,502,0.0,10.0,0.0,10,10,0,0,1
1,1,282,140.0005030632019,5640,10716,59.333333333333336,111878.38840484619,396.73187377605035,1000.8640289306641,0.0,426.7211518296687,142,0,0,0,0,0,0,0,0,0,0,282,2.0142784763615724,1692,2.0142784763615724,282,282,282,0,0,0,0,0,0,0,0,0,0,0,0,0,141,282,0,282,0,0,282,37648.0,0.0,37648,37648,0.0,6.0,6.010666675087179,0,12,0,0,1
2,0,4,56.424031019210815,80,148,56.2,28.332233428955078,7.0830583572387695,28.250932693481445,0.0030994415283203125,14.111928367813967,4,0,0,0,0,0,0,0,0,0,0,4,0.0708917801111748,12,0.0708917801111748,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,0,4,4,0,502.0,0.0,502,502,0.0,3.0,6.0,0,12,0,0,1
2,1,6,56.424041986465454,120,214,56.2,394.8798179626465,65.81330299377441,394.72103118896484,0.010967254638671875,161.13122226605333,5,1,0,0,0,0,0,0,0,0,0,6,0.10633764949769518,14,0.10633764949769518,6,6,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,0,6,0,0,6,59480.0,0.0,59480,59480,0.0,2.3333333333333335,5.715476066494083,0,14,0,0,1
3,0,69,140.42268300056458,1380,2886,59.26829268292683,39.652109146118164,0.5746682484944662,21.804094314575195,0.0040531158447265625,2.6416958854492387,69,0,0,0,0,0,0,0,0,0,0,69,0.49137360521535245,670,0.49137360521535245,69,69,69,0,0,0,0,0,0,0,0,0,0,0,1,0,67,69,0,0,69,69,0,502.0,0.0,502,502,0.0,9.710144927536232,1.6899482177531737,0,10,0,0,1
3,1,136,140.4226999282837,2720,5164,59.26829268292683,28071.58136367798,206.4086864976322,421.62013053894043,0.010967254638671875,210.2263634689879,69,0,67,0,0,0,0,0,0,0,0,136,0.968504380484477,804,0.968504380484477,136,136,136,0,0,0,0,0,0,0,0,0,0,0,1,0,67,135,0,136,0,0,136,42460.0,0.0,42460,42460,0.0,5.911764705882353,6.021529999046068,0,12,0,0,1
